"package_item_A","package_item_B","package_item_C","overall_best","overall_worst","age","district","gender","longitude","latitude","planting_date","end_date","cycle"
"UG120198","NAROCASS 1","UG120156","A","B",45,"Mityana","Female",31.94457,0.529875,2019-04-29,2020-04-28,1
"MM16/1627  ","UG120124","UG120024 ","A","C",48,"Mityana","Female",32.03654,0.5006698,2019-04-28,2020-04-27,1
"NAROCASS 1","UG130016 ","UG130007","A","C",28,"Mityana","Male",32.04334,0.4956676,2019-04-28,2020-04-27,1
"MM06/123","UG120156","UG120193","B","A",17,"Mityana","Male",32.04371,0.4966981,2019-04-28,2020-04-27,1
"UG120124","UG120024 ","UG120180","A","B",35,"Serere","Female",32.04418,0.4942632,2019-04-28,2020-04-27,1
"MM16/1627  ","MM06/123","UG120124","C","A",28,"Mityana","Male",32.02615,0.5101383,2019-04-28,2020-04-27,1
"UG120180","NAROCASS 1","MM16/0707","C","A",53,"Mityana","Female",32.03332,0.5068717,2019-04-28,2020-04-27,1
"UG120156","UG120024 ","UG130016 ","A","B",68,"Mityana","Female",32.03832,0.5024983,2019-04-28,2020-04-27,1
"UG130007","UG120193","UG120198","B","A",27,"Mityana","Male",32.01679,0.487305,2019-04-28,2020-04-27,1
"NAROCASS 1","MM06/123","UG120156","A","C",27,"Luwero","Female",32.4523,0.8651017,2019-05-07,2020-05-06,1
"UG120193","MM16/0707","UG120124","C","B",50,"Luwero","Female",32.45063,0.8674733,2019-05-07,2020-05-06,1
"UG120024 ","UG130007","MM16/1627  ","C","A",39,"Luwero","Female",32.43305,0.83888,2019-05-07,2020-05-06,1
"UG120198","UG130016 ","NAROCASS 1","C","A",48,"Luwero","Male",32.42891,0.8589117,2019-04-29,2020-04-28,1
"UG130007","MM16/1627  ","UG120180","A","C",51,"Luwero","Female",32.4302,0.8680733,2019-05-07,2020-05-06,1
"UG130016 ","UG120180","UG120193","C","B",52,"Luwero","Female",32.44445,0.8561567,2019-04-29,2020-04-28,1
"UG120156","UG120124","UG120198","A","C",46,"Luwero","Female",32.42904,0.860225,2019-05-08,2020-05-07,1
"MM16/0707","MM06/123","UG120024 ","B","A",52,"Luwero","Male",32.44226,0.8840233,2019-05-07,2020-05-06,1
"UG120193","NAROCASS 1","MM16/1627  ","B","C",58,"Luwero","Male",32.44729,0.8708967,2019-05-07,2020-05-06,1
"MM06/123","UG120180","UG120024 ","A","C",57,"Luwero","Male",32.45169,0.86767,2019-05-07,2020-05-06,1
"UG120124","UG120198","UG130007","C","A",28,"Luwero","Male",32.52724,0.8502817,2019-05-07,2020-05-06,1
"NAROCASS 1","UG120156","MM16/0707","B","A",29,"Luwero","Male",32.53507,0.8475667,2019-05-07,2020-05-06,1
"UG120024 ","UG120124","UG130016 ","B","A",22,"Luwero","Male",32.51917,0.8463817,2019-05-07,2020-05-06,1
"UG130007","MM16/0707","MM16/1627  ","A","B",37,"Luwero","Female",32.53319,0.8502367,2019-05-07,2020-05-06,1
"UG120198","UG120193","MM06/123","B","C",34,"Luwero","Female",32.53528,0.8477933,2019-05-07,2020-05-06,1
"UG120180","UG130016 ","UG120156","B","C",60,"Luwero","Female",32.53017,0.842915,2019-05-07,2020-05-06,1
"UG130016 ","UG130007","UG120180","A","C",65,"Luwero","Male",32.5228,0.846185,2019-05-07,2020-05-06,1
"UG120124","UG120156","UG120193","B","C",38,"Luwero","Female",32.52014,0.8424117,2019-05-07,2020-05-06,1
"UG120198","UG120024 ","NAROCASS 1","C","B",43,"Luwero","Female",32.52291,0.842925,2019-05-07,2020-05-06,1
"UG120180","NAROCASS 1","MM16/0707","B","C",42,"Luwero","Female",32.60458,0.6415783,2019-05-08,2020-05-07,1
"MM16/1627  ","UG130016 ","UG120124","A","B",45,"Luwero","Male",32.60577,0.6407183,2019-05-08,2020-05-07,1
"UG120193","UG120024 ","UG130007","C","B",45,"Luwero","Male",32.59716,0.6472717,2019-05-08,2020-05-07,1
"MM06/123","UG120156","UG120198","B","A",27,"Luwero","Male",32.60185,0.6512233,2019-05-08,2020-05-07,1
"UG130007","MM06/123","NAROCASS 1","C","B",31,"Luwero","Female",32.60432,0.6344917,2019-04-29,2020-04-28,1
"UG120124","UG120198","UG120180","A","B",45,"Luwero","Female",32.61346,0.6339067,2019-04-29,2020-04-28,1
"UG130016 ","MM16/0707","UG120193","A","B",50,"Luwero","Female",32.60093,0.6333017,2019-05-08,2020-05-07,1
"MM16/0707","UG120180","UG130007","C","B",50,"Luwero","Female",32.61075,0.6357817,2019-04-08,2020-04-07,1
"NAROCASS 1","UG120156","UG130016 ","A","B",42,"Luwero","Female",32.60483,0.6330917,2019-05-08,2020-05-07,1
"UG120024 ","UG120124","UG120198","B","A",52,"Luwero","Female",32.64245,0.7091167,2019-05-08,2020-05-07,1
"MM16/0707","UG130007","UG120124","B","A",45,"Luwero","Female",32.65454,0.70644,2019-05-07,2020-05-06,1
"UG120198","NAROCASS 1","MM16/1627  ","B","A",28,"Luwero","Female",32.635,0.7025217,2019-05-08,2020-05-07,1
"MM06/123","UG120024 ","UG120156","A","B",43,"Luwero","Male",32.6302,0.7090167,2019-05-08,2020-05-07,1
"UG120156","UG130007","UG120193","A","C",40,"Luwero","Female",32.64626,0.724745,2019-05-08,2020-05-07,1
"MM06/123","UG120198","UG120180","C","B",58,"Luwero","Male",32.63195,0.7164233,2019-05-08,2020-05-07,1
"UG130016 ","MM16/1627  ","MM16/0707","C","B",38,"Luwero","Female",32.63978,0.7139583,2019-05-08,2020-05-07,1
"NAROCASS 1","UG120180","UG120124","A","B",53,"Luwero","Female",32.63981,0.7187433,2019-05-08,2020-05-07,1
"UG120193","UG130016 ","NAROCASS 1","B","A",32,"Arua","Male",30.93418,2.815143,2019-04-28,2020-04-27,1
"UG120156","MM16/0707","UG120198","C","B",23,"Arua","Female",30.93194,2.82158,2019-04-28,2020-04-27,1
"UG120124","UG120193","UG120024 ","A","C",40,"Arua","Female",30.93909,2.827038,2019-04-29,2020-04-28,1
"UG130016 ","UG120124","MM16/0707","B","C",52,"Arua","Female",30.93835,2.828263,2019-04-28,2020-04-27,1
"MM16/1627  ","UG120193","UG120180","B","C",40,"Arua","Male",30.96203,2.833728,2019-04-28,2020-04-27,1
"UG120024 ","NAROCASS 1","MM06/123","C","A",55,"Arua","Male",30.97039,2.835933,2019-04-28,2020-04-27,1
"UG120198","UG130007","UG120156","B","C",32,"Arua","Male",30.95831,2.83588,2019-04-28,2020-04-27,1
"UG120180","MM06/123","UG120156","B","C",34,"Arua","Male",30.9792,2.830262,2019-04-28,2020-04-27,1
"UG130007","UG120198","UG130016 ","A","C",24,"Arua","Female",30.95863,2.829781,2019-04-28,2020-04-27,1
"UG120193","UG130016 ","NAROCASS 1","A","B",26,"Arua","Male",30.97214,2.961088,2019-04-30,2020-04-29,1
"MM06/123","UG120124","UG130007","C","A",27,"Arua","Male",30.97184,2.9593,2019-04-29,2020-04-28,1
"UG120024 ","MM16/0707","UG120198","C","A",39,"Arua","Male",30.94491,2.966975,2019-04-30,2020-04-29,1
"MM16/1627  ","UG120156","UG120124","A","B",28,"Arua","Male",30.95513,2.955888,2019-04-30,2020-04-29,1
"NAROCASS 1","UG120180","UG120193","A","B",25,"Arua","Male",30.95624,2.955813,2019-04-30,2020-04-29,1
"UG120156","UG120193","MM16/1627  ","B","C",26,"Arua","Male",30.95124,2.956962,2019-04-29,2020-04-28,1
"UG120180","UG120024 ","NAROCASS 1","C","A",28,"Arua","Male",30.95236,2.954731,2019-04-30,2020-04-29,1
"UG120124","UG120198","MM16/0707","C","B",41,"Arua","Male",30.94947,2.956627,2019-04-30,2020-04-29,1
"UG130016 ","UG130007","MM06/123","B","C",42,"Arua","Male",30.95004,2.958666,2019-04-30,2020-04-29,1
